ананасы,"Свежий либо сушеный, давать как лакомство.
Сладкий и калорийный."
апельсин,"Очень редко.
Слишком сладкий и калорийный, может быть кислым."
арахис,Нельзя!
арбуз,"Только свежий. Сладкий и калорийный."
арбузные семечки,Можно свежие сушеные. Давать как лакомство.
базилик,"Давать в свежем виде, 1 раз в несколько дней."
баклажаны,Нельзя!
бананы,"Только свежий или сухой.
Давать иногда, как лакомство."
баранина,"Только в варенном виде, без соли и специй."
бобы,"Нельзя!
Газообразование может привести к летальному исходу!"
брокколи,Нельзя!
брусника,Нельзя
брынза,"Нельзя!
Слишком жирный."
варенье,"Нельзя!
Слишком сладкое и калорийное."
ветки,"Только плодовых деревьев.
5 минут прокипятить, можно давать 1 раз в неделю."
виноград,"Давать как лакомство.
Только свежий, без кожуры и косточек."
вишня,"Давать как лакомство.
Только свежую, без кожуры и косточек."
говядина,"Только в варенном виде, без соли и специй."
горох,"Нельзя!
Газообразование может привести к летальному исходу!"
гранат,"Давать в свежем виде иногда как лакомство.
Может вызвать аллергию."
грейпфрут,"Нельзя!
Слишком кислый."
грецкий орех,"Очень редко и немного.
Очень калорийный и жирный."
гречневая крупа/гречка,"Можно давать 1 раз в несколько дней.
Только варенная и без специй."
грибы,"Давать иногда как лакомство.
Только варенные, без соли и специй.
Могут вызвать расстройство желудка."
груша/груши,"Только свежую, без косточек.
Сладкая, калорийная и может вызвать газики."
детское питание,"Без сахара и соли, без мяса."
дыня,"Только свежую, как лакомство."
зефир,Нельзя!
йогурт,"Давать редко. Без красителей, сахара и добавок."
кабачок,"Давать свежий, варенный или тушеный(Не жаренный!)."
капуста,Нельзя!
картофель,"Только варенный или тушенный, сырой нельзя."
кефир,"Можно 1 раз в неделю, без сахара, красителей и добавок."
кешью,Очень редко и только свежий.
киви,"Давать как лакомство, но осторожно.
Высокая кислотность."
кинза/кориандр,Можно давать 1 раз в неделю только в свежем виде.
клубника,Давать как лакомство.
кокос,Очень редко. Только в свежем или сушеном виде.
колбаса,Нельзя!
консервы,Нельзя!
кошачий корм,Нельзя!
кости,"Можно давать погрызть ВАРЕННЫЕ кости, но надолго в клетке не оставлять."
кукуруза,"Давать как лакомство. Только свежую или варенную.
Консвервированную нельзя!"
кунжут,Очень редко.
курица,Только в варенном виде. Без соли и специй.
кускус,"Можно давать 1 раз в неделю.
Запаренный или вареный."
лайм,"Нельзя!
Очень кислый и может вызвать аллергию."
латук,Можно в свежем виде.
лимон,Нельзя! Очень кислый и может вызвать аллергию.
лук,Можно давать как лакомство в маленьких количествах.
макароны,"Не соленые, не сладкие, без приправ(но кто вообще такие ест?)."
малина,"Давать как лакомство, только свежую."
манго,"Давать свежий, без косточек."
мандарин,"Давать очень редко, не кислые."
манная крупа/манка,"Давать как лакомство, в виде вареной каши."
маслины/оливки,"Нельзя!
Слишком соленые и калорийные."
мед,Нельзя!
миндаль,Нельзя!
молоко,"Нельзя!
Может вызвать расстройство желудка."
морепродукты,"Только в варенном виде, без соли и специй."
морковь,"Давать как лакомство.
В свежем, сушеном, варенном или тушенном виде."
мороженое,Нельзя!
мясные деликатесы,Нельзя!
мясные субпродукты,"Можно 1 раз в неделю.
В варенном виде без соли и специй."
овес/овсянка,Как лакомство. В свежем или варенном виде.
огурец/огурцы,"Давать можно часто.
В свежем, варенном или тушеном виде."
пекинская капуста,Можно давать часто.
перец сладкий,"Давать как лакомство, но осторожно.
Может вызвать расстройство кишечника."
перловая крупа,"В виде каши или сыром виде.
Можно давать часто."
персик,Давать свежий без косточки.
петрушка,"Давать свежие листья.
1 раз в несколько дней."
печенье,"Только домашнее, не сладкое.
Очень редко."
помело,Только свежее.
помидор/помидоры,Только свежий.
пшеница,Свежую или в виде каши.
пшено просо,В сыром виде или в виде каши.
редис/редька/редиска,Нельзя!
рикотта,Нельзя!
рис,В виде каши или в свежем виде.
руккола,"1 раз в несколько дней, в свежем виде."
рыба,"В варенном виде, без соли и специй, не жирную."
ряженка,"1 раз в неделю.
Без сахара, красителей и добавок. 0% жирности"
сало,Нельзя!
свекла,Давать свежу или варенную.
свинина,Нельзя!
сгущеное молоко/сгущенка,Нельзя!
сельдерей,"Можно давать часто.
Только в свежем виде."
семечки,"Только не жаренные и не соленые!"
сладости,Нельзя!
слива/сливы,"Давать как лакомство, только свежую.
Осторожно, может вызвать расстройство кишечника."
сливки,Нельзя!
сметана,Нельзя!
смородина,"1 раз в неделю.
Свежая или сушенная"
сухари/сухарики,"Без приправ, не сладкие и не соленые.
Ни пользы, ни вкуса."
сыр,Нельзя!
творог,"0% жирности. Без сахара, красителей и добавок."
тушенка,Нельзя!
тыква,Можно давать часто в свежем или варенном виде.
укроп,Можно давать спокойной в свежем виде.
фасоль,"Нельзя!
Газообразование может привести к летальному исходу!"
фейхоа,Нельзя!
финик/финики,Нельзя!
фисташки,Нельзя!
фундук,"Очень редко, свежий."
хлеб,"Очень редко.
Несладкий, в сушеном виде."
хлебцы,"Давать иногда как лакомство.
Не давать много из-за консервантов."
хурма,Обязательно свежую и спелую.
чай,Нельзя!
черешня,"Только свежую, без косточек"
черника,"1 раз в неделю.
Свежую."
чеснок,Не давать в больших количествах.
чипсы,Нельзя!
шоколад,"Только черный, какао не более 80%.
Давать очень мало и очень редко."
шпинат,Можно давать спокойно. Только свежий.
яблоко/яблоки,"Давать как лакомство.
Давать немного из-за газообразования."
яблочные семечки,Можно давать спокойно.
яйца/яйцо,"Только варенные.
Без соли, специй и желтка."